4aX,4aS,4cX,4cS,size-4aX,size-4aS,size-4cX,size-4cS,avg-size,std,vol,S
4,0,0,4,2.895205229,,,2.416992004,2.656098617,0.239106613,1079.11,0.02
3,1,1,3,2.771368577,2.691742124,2.612309641,2.491337769,2.641689528,0.103429623,1074.83,45
2,2,2,2,2.660201078,2.646123771,2.590005349,2.497809117,2.598534829,0.063808022,1041.02,115
2,2,2,2,2.749019366,2.545837481,2.572835308,2.505423864,2.593279005,0.093062115,1089.92,151
1,3,3,1,2.592826828,2.494233565,2.688863761,2.48645105,2.565593801,0.082602934,1029.23,60
0,4,4,0,,2.464092002,2.731314392,,2.597703197,0.133611195,1057.9,0.57
4,0,1,3,2.814904376,,2.472211944,2.501467074,2.596194465,0.155111755,1085.43694,15
3,1,2,2,2.747393172,2.576559137,2.532842175,2.464588428,2.580345728,0.10437376,998.1902893,52
2,2,3,1,2.606448473,2.525807602,2.617562344,2.473812273,2.555907673,0.059163629,1004.239129,69
1,3,4,0,2.515668741,2.524373902,2.652085255,,2.564042633,0.06235689,1026.493021,71
4,0,2,2,2.79314272,,2.601688633,2.451005833,2.615279062,0.140006993,1045.443644,40
3,1,3,1,2.670286281,2.548892789,2.579213399,2.433327882,2.557930088,0.084682165,970.2769146,64
2,2,4,0,2.639184043,2.437692802,2.682484255,,2.5864537,0.106664835,977.8260069,69
4,0,3,1,2.72341648,,2.554249117,2.437346128,2.571670575,0.117435634,978.3846566,139
3,1,4,0,2.542218407,2.46337236,2.614287484,,2.539959417,0.061631545,971.01276,147
4,0,4,0,2.631215153,,2.564892177,,2.598053665,0.033161488,1017.316581,78
4,0,0,4,2.982776844,,,2.410573751,2.696675298,0.286101546,1085.11,0.0005
3,1,1,3,2.831075814,2.73116808,2.741337416,2.467748122,2.692832358,0.135643406,1047.98,16
2,2,2,2,2.79473842,2.558098447,2.697666133,2.497031755,2.636883689,0.116595775,1046.87,42
2,2,2,2,2.858701459,2.556567419,2.813725907,2.525406006,2.688600198,0.148875687,1112.76,51
1,3,3,1,2.700940453,2.465116756,2.736677251,2.61612848,2.629715735,0.104631692,1035.34,51
0,4,4,0,,2.453160681,2.8710108,,2.662085741,0.20892506,1109.92,0.08
4,0,1,3,2.897464336,,2.629863369,2.417552906,2.648293537,0.196355966,1099.761672,3
3,1,2,2,2.740775891,2.550318433,2.663422671,2.482333631,2.609212657,0.099767764,1035.186565,30
2,2,3,1,2.808318152,2.585847117,2.751542541,2.484487795,2.657548901,0.129090534,1029.386999,65
1,3,4,0,2.571991773,2.44291568,2.766187888,,2.593698447,0.132864881,1017.436691,34
4,0,2,2,2.846184273,,2.647591963,2.463219847,2.652332028,0.156380495,1071.595207,24
3,1,3,1,2.730923059,2.653885007,2.720436595,2.461035179,2.64156996,0.108337886,1038.715156,77
2,2,4,0,2.706760468,2.479993697,2.763164604,,2.649972923,0.122379355,1023.021192,43
4,0,3,1,2.772213781,,2.659268671,2.445690003,2.625724152,0.135396629,1042.778746,54
3,1,4,0,2.708694842,2.532321783,2.689651198,,2.643555941,0.079037728,1028.99822,96
4,0,4,0,2.712886506,,2.627271641,,2.670079074,0.042807433,1024.151579,117
4,0,0,4,3.108870061,,,2.413158432,2.761014247,0.347855815,1100.49,0.000003
3,1,1,3,3.114791699,2.755612772,2.819423397,2.477536007,2.791840969,0.226471883,1109.62,4.8
2,2,2,2,2.968944388,2.548645258,2.961062919,2.534593677,2.753311561,0.211768713,1083.25,30
2,2,2,2,2.927509459,2.582880029,2.926896691,2.601864533,2.759787678,0.167550033,1142.55,17
1,3,3,1,2.828636726,2.502110835,2.967592357,2.461982312,2.690080558,0.214226537,1074.68,17
0,4,4,0,,2.47586964,3.13279567,,2.804332655,0.328463015,1187.58,0.001
4,0,1,3,3.06186949,,2.739284677,2.420659562,2.740604576,0.261774521,1105.192196,0.02
3,1,2,2,2.988977615,2.583625014,2.877227037,2.443022556,2.723213056,0.21928443,1097.347188,22
2,2,3,1,2.929677669,2.518954831,2.935895386,2.500857472,2.72134634,0.211548399,1079.100648,30
1,3,4,0,2.67822502,2.417616406,2.949141638,,2.681661021,0.217007868,1062.997686,10
4,0,2,2,3.047753892,,2.783277967,2.425514985,2.752182281,0.254977804,1112.092732,5.3
3,1,3,1,3.010762306,2.577086801,2.84242513,2.412596658,2.710717724,0.23135848,1099.706111,28
2,2,4,0,2.863869106,2.426769604,2.894758284,,2.728465665,0.213703721,1091.244845,36
4,0,3,1,2.986521372,,2.805292952,2.423714387,2.73850957,0.234567603,1114.791049,29
3,1,4,0,2.877692209,2.457913769,2.901326486,,2.745644155,0.203684766,1121.956076,91
4,0,4,0,2.887831554,,2.833877195,,2.860854375,0.026977179,1131.511526,65
