index,name,std,avg-size,vol,S_ori,S
1,Li6PTe5Br1,0.047044572,2.831462544,1626.21175,72.535476,14.74392023
2,Li6PTe5Br2,0.138414421,2.828635135,1588.348094,166.023829,33.74682605
4,Li6PTe5Br4,0.101038634,2.852540957,1522.146167,55.298032,11.24015196
5,Li6PTe5Br5,0.109450388,2.798295848,1502.85069,72.311064,14.69830513
6,Li6PTe5Br6,0.044178352,2.821761848,1534.903749,107.726495,21.8970211
7,Li6SbTe5Br1,0.043643638,2.880341703,1764.688052,66.509323,13.51901451
8,Li6SbTe5Br2,0.132422074,2.868017145,1795.992477,22.770009,4.628344843
9,Li6SbTe5Br3,0.099489392,2.81944999,1835.284808,18.37934,3.735875709
10,Li6SbTe5Br4,0.122692113,2.823470162,1764.309359,44.504845,9.046275294
11,Li6SbTe5Br5,0.09226121,2.871156274,1704.735266,96.80841,19.67775705
12,Li6SbTe5Br6,0.096474174,2.829715465,1692.871204,93.015035,18.90669686
13,Li6SbSe5Cl1,0.12569499,2.751049705,1393.092634,37.40758,7.603650047
14,Li6SbSe5Cl2,0.112811861,2.815580951,1436.659415,0.570804,0.116024449
15,Li6SbSe5Cl3,0.094992029,2.672267745,1401.356309,4.239295,0.861700105
16,Li6SbSe5Cl4,0.073276552,2.683256768,1374.031063,27.02173,5.492570719
17,Li6SbSe5Cl5,0.044652227,2.705353815,1352.681414,18.554526,3.771484883
18,Li6SbSe5Cl6,0.057135894,2.631213982,1355.386032,105.57185,21.45905729
19,Li6PSe5Cl1,0.16279549,2.7307838,1282.422212,0.803,0.163221758
20,Li6PSe5Cl2,0.153035803,2.668048523,1236.656364,105.776408,21.50063676
21,Li6PSe5Cl3,0.070924266,2.657938142,1262.776426,227.14043,46.16968917
22,Li6PSe5Cl4,0.081148682,2.646526558,1175.755694,51.564275,10.48121001
23,Li6PSe5Cl5,0.088749659,2.6566804,1204.459348,48.722685,9.90361435
24,Li6PSe5Cl6,0.090804802,2.670558394,1233.573913,1.249801,0.254040743
25,Li6PSe5Br1,0.185867438,2.776135065,1281.178615,0.115841,0.023546416
26,Li6PSe5Br2,0.111521075,2.726433946,1263.932179,14.526055,2.952637909
27,Li6PSe5Br3,0.111426414,2.730252724,1287.7944,55.938126,11.37026064
28,Li6PSe5Br4,0.077628757,2.683378771,1212.268521,27.172109,5.5231375
29,Li6PSe5Br5,0.113587242,2.638153614,1217.175318,70.881299,14.40768402
30,Li6PSe5Br6,0.145709453,2.713080012,1281.627747,1.925643,0.391415737
31,Li6PTe5Cl1,0.083214763,2.721951785,1652.284267,17.965817,3.651820975
32,Li6PTe5Cl2,0.17243601,2.727755659,1622.274488,140.867979,28.63352334
33,Li6PTe5Cl3,0.113223734,2.751179455,1589.364353,125.315891,25.47232888
34,Li6PTe5Cl4,0.233742926,2.769638088,1526.707805,43.642198,8.870929391
35,Li6PTe5Cl5,0.177640548,2.74106061,1485.67575,61.465174,12.4937158
36,Li6PTe5Cl6,0.132973256,2.78317724,1502.685204,228.411743,46.42810255
37,Li6PS5Cl1,0.252456201,2.658121822,1086.215442,0.02,0.004065299
38,Li6PS5Cl2,0.131716064,2.612435861,1072.895786,44.768155,9.099796989
39,Li6PS5Cl3,0.088373101,2.627717279,1090.162018,114.672705,23.30894216
40,Li6PS5Cl4,0.08542723,2.614992304,1037.989058,182.656629,37.12769138
41,Li6PS5Cl5,0.084046854,2.571902022,1028.918159,59.694548,12.13380958
42,Li6PS5Cl6,0.148076951,2.605274612,1061.757426,0.574705,0.116817386
43,Li7PS6,0.007116824,2.618931636,1197.752351,168.635621,34.27771183
44,Li7SbS6,0.021353864,2.664837721,1234.339735,360.759952,73.32985523
45,Li7SiSe5Cl1,0.067645845,2.685360297,1211.409391,81.586776,16.58373231
46,Li7SiSe5Cl2,0.063434066,2.669977825,1220.739546,121.941836,24.78650175
47,Li7SiSe5Cl3,0.052502548,2.64492241,1219.743939,235.591067,47.88740751
48,Li7SiSe5Cl4,0.038810779,2.672847791,1216.132169,162.655868,33.06223761
49,Li7SiSe5Cl5,0.043173548,2.608326115,1196.08563,71.562618,14.54617229
50,Li7SiSe5Cl6,0.023226538,2.594240252,1192.199508,17.476217,3.552302453
51,Li7GeTe5I1,0.069198714,2.928969342,1578.85298,66.632485,13.54404903
52,Li7GeTe5I2,0.059866862,2.995262544,1600.094563,218.017498,44.31531681
53,Li7GeTe5I3,0.041153938,2.898546533,1576.608598,200.500504,40.75472582
54,Li7GeTe5I4,0.046138769,2.891764316,1557.66648,140.300387,28.51815178
55,Li7GeTe5I5,0.071255332,2.914424429,1583.698174,155.861958,31.6812738
56,Li7GeTe5I6,0.03271676,2.884081486,1532.081422,6.684283,1.35868048
57,Li7SiTe5I1,0.093584106,2.889739998,1612.726492,43.37865,8.817359319
58,Li7SiTe5I2,0.074219285,2.929798782,1580.48649,214.407079,43.58144516
59,Li7SiTe5I3,0.022444293,2.902510484,1554.68403,84.145144,17.10375887
60,Li7SiTe5I4,0.042807908,2.94878851,1613.119143,244.887231,49.77699187
61,Li7SiTe5I5,0.03017275,2.894351807,1560.43895,199.04294,40.45845414
62,Li7SiTe5I6,0.036045422,2.943976967,1588.461152,122.006511,24.79964791
63,Li8SiTe6,0.010941716,2.984743363,1547.380496,185.039649,37.61207583
64,Li8SiSe6,0.014586545,2.790192687,1234.984094,188.947413,38.40638731
65,Li8GeSe6,0.036840804,2.797677289,1263.068493,234.388641,47.64299645
66,LiPSCl X excess 1,0.155111755,2.596194465,1085.43694,15,3.048974318
67,LiPSCl X excess 2,0.10437376,2.580345728,998.1902893,52,10.56977763
68,LiPSCl X excess 3,0.059163629,2.555907673,1004.239129,69,14.02528186
69,LiPSCl X excess 4,0.06235689,2.564042633,1026.493021,71,14.43181177
70,LiPSCl X excess 5,0.140006993,2.615279062,1045.443644,40,8.13059818
71,LiPSCl X excess 6,0.084682165,2.557930088,970.2769146,64,13.00895709
72,LiPSCl X excess 7,0.106664835,2.5864537,977.8260069,69,14.02528186
73,LiPSCl X excess 8,0.117435634,2.571670575,978.3846566,139,28.25382868
74,LiPSCl X excess 9,0.061631545,2.539959417,971.01276,147,29.87994831
75,LiPSCl X excess 10,0.033161488,2.598053665,1017.316581,65,13.21222204
76,LiPSBr 1,0.286101546,2.696675297,1085.11,0.0005,0.000101632
77,LiPSBr 2,0.135643406,2.692832358,1047.98,16,3.252239272
78,LiPSBr 3,0.116595775,2.636883689,1046.87,42,8.537128089
79,LiPSBr 4,0.148875687,2.688600198,1112.76,51.2,10.40716567
80,LiPSBr 5,0.104631692,2.629715735,1035.34,51.5,10.46814516
81,LiPSBr 6,0.20892506,2.66208574,1109.92,0.08,0.016261196
82,LiPSBr 7,0.196355966,2.648293537,1099.761672,3,0.609794864
83,LiPSBr 8,0.099767764,2.609212656,1035.186565,30,6.097948635
84,LiPSBr 9,0.129090534,2.657548901,1029.386999,65,13.21222204
85,LiPSBr 10,0.132864881,2.593698447,1017.436691,34,6.911008453
86,LiPSBr 11,0.156380495,2.652332028,1071.595207,24,4.878358908
87,LiPSBr 12,0.108337886,2.64156996,1038.715156,77,15.6514015
88,LiPSBr 13,0.122379355,2.649972923,1023.021192,43,8.740393044
89,LiPSBr 14,0.135396629,2.625724151,1042.778746,54,10.97630754
90,LiPSBr 15,0.079037728,2.643555941,1028.99822,96,19.51343563
91,LiPSBr 16,0.042807433,2.670079073,1024.151579,117,23.78199968
92,LiPSI 1,0.347855815,2.761014247,1100.49,0.000003,6.09795E-07
93,LiPSI 2,0.226471883,2.791840969,1109.62,4.8,0.975671782
94,LiPSI 3,0.211768713,2.75331156,1083.25,30,6.097948635
95,LiPSI 4,0.167550033,2.759787678,1142.55,17,3.455504227
96,LiPSI 5,0.214226537,2.690080557,1074.68,17,3.455504227
97,LiPSI 6,0.328463015,2.804332655,1187.58,0.001,0.000203265
98,LiPSI 7,0.261774521,2.740604576,1105.192196,0.02,0.004065299
99,LiPSI 8,0.21928443,2.723213056,1097.347188,22,4.471828999
100,LiPSI 9,0.211548399,2.721346339,1079.100648,30,6.097948635
101,LiPSI 10,0.217007868,2.681661021,1062.997686,10,2.032649545
102,LiPSI 11,0.254977804,2.752182281,1112.092732,5.3,1.077304259
103,LiPSI 12,0.23135848,2.710717724,1099.706111,28,5.691418726
104,LiPSI 13,0.213703721,2.728465665,1091.244845,36,7.317538362
105,LiPSI 14,0.234567603,2.73850957,1114.791049,29,5.894683681
106,LiPSI 15,0.203684766,2.745644154,1121.956076,91,18.49711086
107,LiPSI 16,0.026977179,2.860854374,1131.511526,65,13.21222204
